MIDI File: Carly Rae Jepsen - Call Me Maybe.mid
Tempo: 119 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 5
Consolidated Instrument Tracks: 4

Instrument: Drum Kit / Percussion
  Note: D#2 (Hand Clap), Time: 16.38s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 16.63s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 16.63s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 17.13s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 17.13s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 17.64s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 17.64s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 18.14s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 18.14s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 18.64s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 18.64s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 19.15s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 19.15s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 19.65s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 19.65s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 20.16s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 20.16s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 20.66s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 20.66s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 21.17s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 21.17s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 21.67s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 21.67s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 22.17s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 22.17s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 22.68s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 22.68s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 23.18s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 23.18s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 23.69s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 23.69s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 24.19s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 24.19s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 24.70s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 24.70s, Duration: 0.13s, Velocity: 0.39
  Note: C2 (Bass Drum 1), Time: 25.20s, Duration: 0.13s, Velocity: 0.39
  Note: D#2 (Hand Clap), Time: 25.20s, Duration: 0.13s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 25.70s, Duration: 0.13s, Velocity: 0.39
