MIDI File: FlyMeToTheMoon.mid
Tempo: 128 BPM
Time Signature: 4/4
Total Tracks (in source MIDI): 19
Consolidated Instrument Tracks: 7

Instrument: Alto Sax
  (No notes for this instrument)

Instrument: Drum Kit / Percussion
  Note: B1 (Acoustic Bass Drum), Time: 25.78s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 25.78s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 26.12s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 26.25s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 26.25s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 26.72s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 26.72s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 27.06s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 27.19s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 27.19s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 27.66s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 27.66s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 28.00s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 28.13s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 28.13s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 28.59s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 28.59s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 28.94s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 29.06s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 29.06s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 29.53s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 29.53s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 29.88s, Duration: 0.10s, Velocity: 0.39
  Note: B1 (Acoustic Bass Drum), Time: 30.00s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 30.00s, Duration: 0.10s, Velocity: 0.55
  Note: C#2 (Side Stick), Time: 30.47s, Duration: 0.10s, Velocity: 0.55
  Note: F#2 (Closed Hi-Hat), Time: 30.47s, Duration: 0.10s, Velocity: 0.71
  Note: F#2 (Closed Hi-Hat), Time: 30.81s, Duration: 0.10s, Velocity: 0.31
  Note: B1 (Acoustic Bass Drum), Time: 30.94s, Duration: 0.10s, Velocity: 0.47
  Note: F#2 (Closed Hi-Hat), Time: 30.94s, Duration: 0.10s, Velocity: 0.63
  Note: C#2 (Side Stick), Time: 31.41s, Duration: 0.10s, Velocity: 0.63
  Note: F#2 (Closed Hi-Hat), Time: 31.41s, Duration: 0.10s, Velocity: 0.71
